<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210201,00:00:00,1.2122700,1.2136500,1.2053000,1.2067700,2019703
20210202,00:00:00,1.2067700,1.2087800,1.2010000,1.2036000,1862755
20210203,00:00:00,1.2036800,1.2050200,1.2002000,1.2041000,1406126
20210204,00:00:00,1.2041300,1.2043000,1.1956000,1.1965600,1455889
20210205,00:00:00,1.1966300,1.2050000,1.1951000,1.2047600,1252436
20210207,00:00:00,1.2046000,1.2055100,1.2032700,1.2048400,62882
20210208,00:00:00,1.2048400,1.2066000,1.2018000,1.2051000,1135262
20210209,00:00:00,1.2052200,1.2122000,1.2048000,1.2115600,948341
20210210,00:00:00,1.2115800,1.2144100,1.2107000,1.2119100,1347315
20210211,00:00:00,1.2117900,1.2149500,1.2111000,1.2129700,1071790
20210212,00:00:00,1.2129700,1.2133200,1.2080000,1.2119000,1064696
20210214,00:00:00,1.2098000,1.2125300,1.2091000,1.2120200,40138
20210215,00:00:00,1.2120400,1.2145200,1.2115000,1.2131900,859406
20210216,00:00:00,1.2131200,1.2169500,1.2084000,1.2087800,1349738
20210217,00:00:00,1.2088200,1.2098500,1.2021000,1.2044400,1397992
20210218,00:00:00,1.2045200,1.2095800,1.2034000,1.2090800,1264105
20210219,00:00:00,1.2091800,1.2144500,1.2080000,1.2116700,1196032
20210221,00:00:00,1.2111400,1.2129200,1.2111400,1.2124600,45934
20210222,00:00:00,1.2123700,1.2169500,1.2089000,1.2162800,1393701
20210223,00:00:00,1.2163700,1.2180100,1.2133000,1.2150500,1386454
20210224,00:00:00,1.2149800,1.2174700,1.2107000,1.2168500,1754442
20210225,00:00:00,1.2169400,1.2243200,1.2154000,1.2157400,2186811
20210226,00:00:00,1.2157500,1.2182600,1.2060000,1.2071000,2459503
20210228,00:00:00,1.2068000,1.2092000,1.2066500,1.2090400,65299
20210301,00:00:00,1.2090200,1.2101200,1.2026000,1.2048500,1573284
20210302,00:00:00,1.2047700,1.2094500,1.1990000,1.2084900,1630822
20210303,00:00:00,1.2084100,1.2113300,1.2041000,1.2046400,1639801
20210304,00:00:00,1.2046300,1.2063200,1.1959000,1.1967200,2025842
20210305,00:00:00,1.1967200,1.1968700,1.1892000,1.1911000,2081281
20210307,00:00:00,1.1912800,1.1932100,1.1912000,1.1925900,67199
20210308,00:00:00,1.1925300,1.1932400,1.1842000,1.1850300,1764002
20210309,00:00:00,1.1850800,1.1915800,1.1834000,1.1896900,1718099
20210310,00:00:00,1.1896800,1.1930000,1.1867000,1.1924200,1585964
20210311,00:00:00,1.1924200,1.1990000,1.1914000,1.1980800,1567034
20210312,00:00:00,1.1980900,1.1988500,1.1908000,1.1951600,1452230
20210314,00:00:00,1.1938000,1.1954400,1.1938000,1.1949300,66758
20210315,00:00:00,1.1949900,1.1967500,1.1909000,1.1925400,1230337
20210316,00:00:00,1.1926400,1.1951900,1.1881000,1.1901600,1263439
20210317,00:00:00,1.1901300,1.1987500,1.1884000,1.1982600,1365070
20210318,00:00:00,1.1982200,1.1988900,1.1904000,1.1917400,1598470
20210319,00:00:00,1.1916900,1.1937200,1.1872000,1.1904000,1316586
20210321,00:00:00,1.1903200,1.1903200,1.1870000,1.1883500,64404
20210322,00:00:00,1.1883600,1.1947000,1.1873000,1.1932000,1208735
20210323,00:00:00,1.1932200,1.1940900,1.1835000,1.1839600,1236944
20210324,00:00:00,1.1839600,1.1851000,1.1807000,1.1811900,1016819
20210325,00:00:00,1.1812700,1.1827800,1.1760000,1.1774700,1090291
20210326,00:00:00,1.1775500,1.1805300,1.1770000,1.1792800,844396
20210328,00:00:00,1.1793000,1.1793700,1.1784000,1.1787400,42856
20210329,00:00:00,1.1787500,1.1794000,1.1759000,1.1767000,941706
20210330,00:00:00,1.1767700,1.1774000,1.1710000,1.1723200,914036
20210331,00:00:00,1.1723100,1.1759800,1.1702000,1.1726800,994216
20210401,00:00:00,1.1726200,1.1782700,1.1711000,1.1777200,975967
20210402,00:00:00,1.1776900,1.1786700,1.1747000,1.1761000,483927
20210404,00:00:00,1.1734000,1.1767900,1.1734000,1.1766600,57371
20210405,00:00:00,1.1767500,1.1819500,1.1736000,1.1816700,629140
20210406,00:00:00,1.1815900,1.1877600,1.1794000,1.1873600,949743
20210407,00:00:00,1.1873700,1.1914800,1.1859000,1.1872400,1049003
20210408,00:00:00,1.1872300,1.1927500,1.1859000,1.1914500,1129944
20210409,00:00:00,1.1915100,1.1920100,1.1866000,1.1900800,1068399
20210411,00:00:00,1.1897000,1.1904100,1.1887700,1.1895300,48575
20210412,00:00:00,1.1895800,1.1919200,1.1869000,1.1911800,1044590
20210413,00:00:00,1.1911600,1.1956000,1.1876200,1.1953700,1231123
20210414,00:00:00,1.1952000,1.1987400,1.1949000,1.1982800,1102128
20210415,00:00:00,1.1982300,1.1993300,1.1954000,1.1969200,1069967
20210416,00:00:00,1.1969300,1.1994800,1.1949000,1.1982300,954541
20210418,00:00:00,1.1982000,1.1982000,1.1964700,1.1968600,53593
20210419,00:00:00,1.1968900,1.2048100,1.1941000,1.2042400,1253064
20210420,00:00:00,1.2042500,1.2079800,1.2021000,1.2032400,1226820
20210421,00:00:00,1.2031400,1.2043700,1.1997000,1.2037100,1052657
20210422,00:00:00,1.2037200,1.2069700,1.1992000,1.2013900,1320205
20210423,00:00:00,1.2014400,1.2100000,1.2011000,1.2096500,1087948
20210425,00:00:00,1.2098000,1.2098600,1.2087000,1.2089100,47895
20210426,00:00:00,1.2089200,1.2117000,1.2059000,1.2079500,1112255
20210427,00:00:00,1.2079500,1.2093000,1.2055000,1.2089100,1077118
20210428,00:00:00,1.2089000,1.2135500,1.2054000,1.2134700,1347439
20210429,00:00:00,1.2133900,1.2150000,1.2100000,1.2123000,1206639
20210430,00:00:00,1.2123600,1.2126600,1.2015000,1.2019000,1212493
